,count,mean,std,min,25%,50%,75%,max
59,70,-23227.2,1207.1206,-25336.0,-24150.0,-23216.0,-22465.0,-20116.0
60,71,-23157.6338,1269.577,-26492.0,-24100.0,-23192.0,-22236.0,-20116.0
61,71,-23068.1127,1275.2822,-26492.0,-24086.0,-23192.0,-22100.0,-20116.0
62,71,-22972.169,1269.5544,-26080.0,-24086.0,-23004.0,-21884.0,-20116.0
63,71,-22864.0563,1204.8473,-24860.0,-23974.0,-22976.0,-21738.0,-20116.0
64,71,-22756.5634,1192.4989,-24696.0,-23902.0,-22860.0,-21666.0,-19836.0
65,71,-22684.2817,1206.9824,-24684.0,-23870.0,-22860.0,-21638.0,-19836.0
66,71,-22580.7887,1186.3678,-24412.0,-23606.0,-22640.0,-21638.0,-19740.0
67,71,-22494.5352,1162.8729,-24272.0,-23480.0,-22572.0,-21578.0,-19740.0
68,71,-22391.831,1190.8283,-24272.0,-23422.0,-22472.0,-21462.0,-19740.0
69,71,-22324.8451,1188.8578,-24272.0,-23356.0,-22348.0,-21438.0,-18964.0
70,72,-22157.6667,1296.9812,-24272.0,-23133.0,-22332.0,-21375.0,-18108.0
71,72,-22042.6667,1273.3686,-24272.0,-22803.0,-21932.0,-21308.0,-18108.0
72,72,-21952.9444,1260.3786,-24272.0,-22775.0,-21802.0,-21216.0,-18108.0
73,72,-21851.5556,1247.5538,-24272.0,-22677.0,-21778.0,-21216.0,-18108.0
74,72,-21752.2778,1251.2457,-24040.0,-22609.0,-21716.0,-21084.0,-18108.0
75,72,-21619.2778,1311.8389,-24040.0,-22554.0,-21672.0,-20833.0,-18072.0
76,72,-21510.5556,1278.2062,-23804.0,-22436.0,-21482.0,-20792.0,-18072.0
77,72,-21409.5556,1325.4895,-23760.0,-22383.0,-21466.0,-20792.0,-18072.0
78,73,-21244.2192,1447.3028,-23760.0,-22328.0,-21460.0,-20452.0,-16928.0
79,73,-21138.0274,1383.1263,-23760.0,-22228.0,-21328.0,-20428.0,-16928.0
80,73,-21016.7123,1424.5472,-23760.0,-22228.0,-21240.0,-20428.0,-16928.0
81,73,-20905.2055,1453.5128,-23328.0,-22048.0,-21084.0,-20404.0,-16928.0
82,73,-20796.6027,1442.9035,-23328.0,-21948.0,-20972.0,-20292.0,-16928.0
83,73,-20684.6027,1458.6133,-22640.0,-21808.0,-20916.0,-20180.0,-16928.0
84,74,-20527.8378,1583.9014,-22640.0,-21572.0,-20824.0,-19682.0,-15588.0
85,74,-20452.1081,1582.3671,-22628.0,-21572.0,-20808.0,-19417.0,-15588.0
86,74,-20371.2432,1593.159,-22628.0,-21564.0,-20740.0,-19330.0,-15588.0
87,74,-20273.1892,1651.0615,-22548.0,-21550.0,-20662.0,-19330.0,-15588.0
88,74,-20174.3243,1679.3791,-22548.0,-21455.0,-20580.0,-18711.0,-15588.0
89,74,-20112.6486,1686.3312,-22416.0,-21417.0,-20580.0,-18631.0,-15588.0
90,74,-20027.8919,1710.8024,-22416.0,-21417.0,-20422.0,-18498.0,-15588.0
91,74,-19919.3514,1782.539,-22416.0,-21364.0,-20400.0,-18423.0,-15588.0
92,74,-19801.1351,1817.9861,-22416.0,-21076.0,-20374.0,-18360.0,-15588.0
93,74,-19720.5405,1820.0819,-22416.0,-21025.0,-20296.0,-18360.0,-15588.0
94,74,-19622.4324,1822.9959,-22416.0,-20932.0,-20112.0,-18135.0,-15588.0
95,74,-19493.9459,1873.9551,-22416.0,-20896.0,-20106.0,-18010.0,-15320.0
96,74,-19387.2432,1876.0549,-22416.0,-20657.0,-19956.0,-17992.0,-15320.0
97,74,-19270.1622,1909.6442,-22304.0,-20624.0,-19762.0,-17731.0,-14944.0
98,74,-19163.2973,1925.0362,-22304.0,-20544.0,-19526.0,-17731.0,-14632.0
99,74,-19052.1081,1902.384,-22060.0,-20544.0,-19202.0,-17671.0,-14632.0
