generation,continent,pool
10,0,-31844*1 -30604*1 -30344*2 -30336*1 -30104*1 -30100*1 -29644*1 -29500*1 -29380*1 -29088*1 -29056*1 -29016*1 -28996*1 -28968*1 -28924*1 -28900*2 -28736*1 -28724*1 -28684*1 -28680*1 -28668*1 -28624*2 -28612*1 -28572*1 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28500*1 -28488*1 -28376*1 -28368*1 -28252*1 -28212*1 -28184*1 -28176*1 -28140*1 -28108*1 -28044*1 -27848*1 -27756*1 -27664*1 -27648*1 -27632*1 -27348*1 -27280*1 -27264*1 -27024*1 -26900*1 -26800*1 -26780*1 -26716*1 -26624*1 -26612*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
11,0,-31844*1 -30348*1 -30344*2 -30100*1 -29992*1 -29644*1 -29380*1 -29204*1 -29200*1 -29056*1 -29016*1 -28996*1 -28968*1 -28924*1 -28900*2 -28772*1 -28736*1 -28724*1 -28680*1 -28668*1 -28624*2 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28500*1 -28488*1 -28376*1 -28368*1 -28308*1 -28276*1 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28076*1 -28044*1 -27848*1 -27812*1 -27648*1 -27632*1 -27280*2 -27256*1 -27024*1 -26940*1 -26900*1 -26820*1 -26780*1 -26724*1 -26612*1 -26412*1 -26376*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
12,0,-31844*1 -30348*1 -29936*1 -29812*1 -29792*1 -29432*1 -29380*1 -29320*1 -29200*1 -29068*1 -29056*1 -29016*1 -28968*1 -28924*1 -28900*2 -28772*1 -28736*1 -28688*1 -28668*1 -28624*2 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28488*1 -28468*1 -28376*1 -28368*1 -28356*1 -28308*1 -28276*1 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28044*1 -27944*1 -27848*1 -27812*1 -27648*1 -27304*1 -27280*2 -27256*1 -27204*1 -27024*1 -26860*1 -26820*1 -26780*1 -26740*1 -26724*1 -26612*1 -26412*1 -26376*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
13,0,-31844*1 -29864*1 -29720*1 -29692*1 -29432*1 -29380*1 -29320*1 -29200*1 -29068*1 -29056*1 -29016*1 -28968*1 -28924*1 -28900*2 -28772*1 -28688*2 -28668*1 -28624*2 -28540*1 -28520*1 -28504*1 -28488*1 -28460*1 -28440*1 -28376*1 -28368*1 -28356*1 -28308*1 -28276*1 -28264*2 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28044*1 -27944*1 -27388*1 -27280*2 -27256*1 -27204*1 -27124*1 -27104*1 -27024*1 -26860*1 -26780*1 -26740*1 -26724*1 -26612*1 -26468*1 -26412*1 -26376*1 -26320*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
14,0,-31844*1 -29720*1 -29424*1 -29380*1 -29320*1 -29200*1 -29068*1 -28968*1 -28924*2 -28900*2 -28772*1 -28688*2 -28668*1 -28624*2 -28604*1 -28548*1 -28540*1 -28520*1 -28504*1 -28488*1 -28460*1 -28440*1 -28376*1 -28368*1 -28356*1 -28344*1 -28308*1 -28276*1 -28264*2 -28252*1 -28176*1 -28108*1 -28044*1 -27568*1 -27564*1 -27396*1 -27280*2 -27256*1 -27204*1 -27124*1 -27104*1 -27024*1 -26876*1 -26860*1 -26780*1 -26740*1 -26724*1 -26612*1 -26468*1 -26376*1 -26320*1 -26224*1 -26036*1 -26020*1 -25832*1 -25732*1 -25192*5 -23828*1
15,0,-31844*1 -29412*1 -29380*1 -29260*1 -29240*1 -29200*1 -29068*1 -28968*1 -28924*2 -28900*2 -28688*1 -28668*1 -28624*2 -28604*1 -28548*1 -28540*1 -28520*1 -28460*1 -28440*1 -28376*1 -28368*1 -28356*1 -28308*1 -28276*1 -28264*2 -28252*1 -28212*1 -28176*1 -28108*1 -28044*1 -28036*1 -27852*1 -27736*1 -27568*1 -27564*1 -27396*1 -27280*2 -27244*1 -27204*1 -27124*1 -27104*1 -27024*1 -26996*1 -26860*1 -26780*1 -26740*1 -26724*1 -26612*1 -26468*1 -26376*1 -26224*1 -26200*1 -26036*1 -26020*1 -25920*1 -25832*1 -25732*1 -25192*5 -23828*1
16,0,-31280*1 -29412*1 -29240*1 -29200*1 -29068*1 -29032*1 -28968*1 -28924*2 -28900*1 -28688*1 -28668*1 -28652*1 -28624*2 -28604*1 -28548*1 -28540*1 -28520*1 -28460*1 -28440*1 -28376*1 -28356*1 -28308*1 -28276*1 -28264*1 -28232*1 -28212*1 -28176*1 -28108*1 -28072*1 -28044*1 -27920*2 -27736*1 -27472*1 -27324*1 -27280*2 -27248*1 -27244*1 -27124*1 -27076*1 -27024*1 -26996*1 -26860*1 -26848*1 -26780*1 -26740*1 -26724*1 -26612*1 -26468*1 -26424*1 -26376*1 -26232*1 -26224*1 -26200*1 -26036*1 -26020*1 -25920*1 -25832*1 -25732*1 -25192*5 -23828*1
17,0,-31280*1 -29288*1 -29240*1 -29200*1 -29068*1 -28980*1 -28924*1 -28900*1 -28688*1 -28668*1 -28652*1 -28624*2 -28604*1 -28540*1 -28520*1 -28468*1 -28460*1 -28376*1 -28364*2 -28356*1 -28308*1 -28276*1 -28264*1 -28176*1 -28108*1 -28044*1 -27920*1 -27708*1 -27492*2 -27472*1 -27308*1 -27292*1 -27280*2 -27248*1 -27180*1 -27176*1 -27124*1 -27028*1 -27024*1 -26996*1 -26860*1 -26848*1 -26740*1 -26724*1 -26688*1 -26612*1 -26520*1 -26468*1 -26424*1 -26376*1 -26232*1 -26200*1 -26036*1 -26020*1 -25920*1 -25832*1 -25732*1 -25652*1 -25192*5 -23828*1
18,0,-31280*1 -29288*1 -29240*1 -29200*1 -29068*1 -28980*1 -28924*1 -28732*1 -28668*1 -28652*1 -28624*2 -28604*1 -28540*1 -28468*1 -28460*1 -28364*2 -28356*1 -28276*1 -28264*1 -28184*1 -28176*1 -28112*1 -28108*1 -28044*1 -28036*1 -27920*1 -27708*1 -27704*1 -27492*1 -27292*1 -27280*2 -27248*1 -27180*1 -27176*1 -27132*1 -27124*1 -27028*2 -27024*1 -26996*1 -26860*1 -26848*1 -26776*1 -26724*1 -26612*2 -26520*1 -26468*1 -26424*1 -26376*1 -26232*1 -26200*1 -26036*1 -26032*1 -26020*1 -25920*1 -25732*1 -25652*1 -25192*6 -23828*1
19,0,-31280*1 -29240*1 -29200*1 -29068*1 -28980*1 -28732*1 -28668*1 -28624*2 -28604*1 -28540*1 -28460*1 -28364*2 -28356*1 -28268*1 -28232*1 -28184*1 -28108*1 -28044*1 -28036*1 -27932*1 -27920*1 -27800*1 -27792*1 -27736*1 -27704*1 -27492*1 -27336*1 -27292*1 -27280*2 -27248*1 -27180*1 -27176*1 -27132*1 -27124*1 -27036*1 -27028*1 -27024*1 -26996*1 -26860*1 -26856*1 -26812*1 -26776*1 -26612*2 -26520*1 -26468*1 -26464*1 -26424*1 -26232*1 -26200*1 -26176*1 -26068*1 -26036*1 -26032*1 -25920*1 -25652*1 -25620*1 -25392*1 -25192*6 -23828*1
