generation,continent,pool
1,1,39*1 44*1 46*2 48*1 49*1 50*3 51*3 52*7 53*7 54*8 55*15 56*15 57*23 58*33 59*23 60*35 61*16 62*25 63*29 64*28 65*33 66*20 67*16 68*10 69*9 70*10 71*10 72*6 73*5 75*2 76*2 79*1
2,1,50*1 51*1 52*4 53*6 54*10 55*14 56*11 57*25 58*36 59*21 60*37 61*16 62*23 63*25 64*34 65*32 66*21 67*14 68*10 69*11 70*15 71*11 72*6 73*8 74*1 75*2 76*2 79*3 94*1
3,1,53*5 54*8 55*12 56*5 57*25 58*32 59*20 60*38 61*15 62*29 63*28 64*34 65*31 66*19 67*21 68*13 69*10 70*17 71*10 72*6 73*10 74*3 75*1 76*1 77*1 78*1 79*4 82*1 94*1
4,1,54*1 55*13 56*1 57*31 58*29 59*17 60*32 61*9 62*27 63*32 64*36 65*36 66*23 67*23 68*16 69*9 70*17 71*11 72*5 73*13 74*8 75*2 77*1 79*4 82*4 94*1
5,1,55*7 56*1 57*22 58*23 59*13 60*36 61*13 62*29 63*32 64*39 65*37 66*20 67*23 68*13 69*18 70*16 71*13 72*7 73*15 74*9 75*4 79*1 82*8 83*1 94*1
6,1,55*1 57*17 58*16 59*11 60*33 61*7 62*37 63*40 64*43 65*39 66*22 67*24 68*12 69*13 70*15 71*15 72*8 73*20 74*10 75*4 77*2 82*1 83*9 86*1 94*1
7,1,57*9 58*14 59*1 60*36 61*6 62*36 63*43 64*43 65*42 66*22 67*26 68*9 69*16 70*15 71*16 72*12 73*20 74*11 75*5 76*2 77*2 80*1 82*1 83*1 85*2 86*9 94*1
8,1,57*2 58*5 59*4 60*34 61*6 62*32 63*46 64*47 65*40 66*19 67*29 68*12 69*13 70*18 71*20 72*13 73*18 74*12 75*7 76*3 77*3 85*1 86*16 94*1
9,1,60*35 62*35 63*48 64*45 65*35 66*21 67*31 68*10 69*16 70*24 71*23 72*12 73*19 74*12 75*6 76*1 77*9 78*1 79*1 86*19 88*1 94*1
10,1,60*20 61*1 62*37 63*46 64*44 65*35 66*19 67*32 68*12 69*15 70*23 71*24 72*15 73*23 74*12 76*1 77*12 78*3 79*6 80*1 81*1 83*1 86*16 88*5 94*1
11,1,60*13 62*31 63*52 64*41 65*34 66*21 67*31 68*11 69*9 70*28 71*21 72*17 73*30 74*13 75*1 76*3 77*8 78*4 79*4 81*3 82*2 86*12 88*15 94*2
12,1,62*26 63*55 64*39 65*40 66*22 67*33 68*8 69*10 70*30 71*19 72*15 73*31 74*16 75*1 76*1 77*7 78*4 79*3 81*4 82*8 84*1 86*8 88*21 94*4
13,1,62*15 63*51 64*41 65*40 66*20 67*38 68*4 69*12 70*31 71*19 72*13 73*31 74*9 75*3 76*2 77*15 78*8 79*3 81*4 82*9 84*1 86*6 88*27 94*5
14,1,62*5 63*50 64*35 65*43 66*22 67*40 68*5 69*8 70*32 71*20 72*16 73*30 74*8 76*3 77*15 78*10 79*2 81*1 82*7 86*16 88*34 94*5
15,1,63*45 64*31 65*42 66*25 67*41 68*7 69*7 70*38 71*18 72*11 73*32 74*5 75*3 76*3 77*14 78*6 79*10 82*3 86*20 88*40 94*6
16,1,63*35 64*23 65*42 66*26 67*40 68*10 69*11 70*41 71*17 72*5 73*33 74*6 75*1 76*5 77*14 78*7 79*15 80*2 84*1 85*2 86*17 88*48 94*6
17,1,63*23 64*25 65*42 66*25 67*40 68*8 69*14 70*42 71*16 72*3 73*30 74*6 75*3 76*6 77*17 78*9 79*15 85*2 86*18 87*1 88*55 89*1 94*6
18,1,63*6 64*25 65*39 66*27 67*42 68*10 69*12 70*44 71*15 73*33 74*12 76*5 77*21 78*12 79*12 80*1 81*1 84*2 85*5 86*14 87*3 88*53 89*4 94*9
19,1,64*18 65*38 66*28 67*39 68*13 69*15 70*46 71*16 73*32 74*8 75*2 76*9 77*20 78*9 79*14 84*1 85*3 86*9 87*5 88*59 89*6 94*17
20,1,64*10 65*34 66*29 67*35 68*13 69*14 70*47 71*12 72*7 73*33 74*12 75*5 76*7 77*23 78*11 79*10 86*5 87*8 88*64 89*10 94*19
21,1,64*4 65*32 66*27 67*37 68*12 69*7 70*49 71*10 72*17 73*29 74*10 75*8 76*8 77*21 78*11 79*14 80*1 82*3 83*1 87*3 88*67 89*11 94*27
22,1,65*23 66*25 67*39 68*12 69*7 70*47 71*8 72*21 73*30 74*14 75*9 76*5 77*18 78*12 79*13 80*3 81*1 82*5 83*1 84*1 85*1 86*1 87*1 88*69 89*8 94*35
23,1,65*16 66*19 67*39 68*12 69*6 70*51 71*9 72*18 73*31 74*12 75*9 76*3 77*24 78*8 79*13 80*6 81*1 82*1 83*1 84*1 86*2 87*4 88*73 89*12 94*38
24,1,65*12 66*13 67*29 68*19 69*4 70*53 71*8 72*16 73*32 74*15 75*8 76*1 77*27 78*2 79*16 80*6 81*4 82*3 83*1 86*2 87*8 88*78 89*11 94*41
25,1,65*3 66*11 67*28 68*20 69*5 70*53 71*5 72*19 73*33 74*13 75*7 76*3 77*27 78*2 79*14 80*5 81*4 82*1 83*1 84*1 86*2 87*9 88*83 89*15 91*1 92*1 94*43
26,1,66*9 67*26 68*16 69*7 70*53 71*5 72*16 73*33 74*12 75*8 77*29 78*2 79*14 80*6 81*4 82*3 85*3 86*2 87*10 88*80 89*17 90*1 92*1 94*52
27,1,66*1 67*23 68*14 69*10 70*55 71*1 72*16 73*31 74*8 75*8 77*30 78*4 79*16 80*6 81*3 82*5 83*3 85*3 86*5 87*8 88*83 89*16 90*1 92*1 94*58
28,1,67*16 68*12 69*11 70*57 71*2 72*8 73*32 74*7 75*3 76*6 77*34 78*4 79*17 80*4 81*2 82*5 83*6 86*7 87*9 88*88 89*10 90*3 91*1 92*1 94*65
29,1,67*6 68*10 69*9 70*53 71*2 72*9 73*31 74*9 75*2 76*7 77*32 78*6 79*11 80*11 81*3 82*5 83*8 84*3 85*4 86*7 87*5 88*89 89*10 90*4 92*2 94*72
30,1,67*1 68*6 69*6 70*50 72*10 73*32 74*10 75*3 76*9 77*28 78*4 79*8 80*15 81*5 82*6 83*11 84*2 85*6 86*8 87*6 88*88 89*8 92*5 94*83
31,1,69*7 70*45 72*10 73*32 74*9 75*3 76*5 77*27 78*5 79*3 80*16 81*3 82*11 83*17 84*3 85*4 86*10 87*6 88*91 89*9 92*5 94*89
32,1,69*1 70*42 71*2 72*7 73*28 74*4 75*4 76*7 77*26 78*10 79*6 80*15 82*9 83*16 85*1 86*17 87*5 88*98 89*8 92*5 94*99
33,1,70*35 72*6 73*26 75*7 77*25 78*6 79*14 80*19 81*8 82*7 83*13 84*2 85*1 86*16 87*6 88*101 89*12 90*1 92*1 94*105
34,1,70*28 72*1 73*17 74*2 75*2 77*29 78*11 79*19 80*14 81*10 82*10 83*10 84*1 86*20 87*11 88*102 89*11 90*2 94*112
