generation,continent,pool
35,1,55*1 70*19 73*12 75*3 77*26 78*9 79*24 80*21 81*8 82*4 83*11 84*2 85*2 86*21 87*17 88*98 89*12 90*3 92*1 94*119
36,1,55*1 70*13 73*6 74*2 75*2 77*23 78*4 79*31 80*19 81*4 82*4 83*13 85*2 86*21 87*18 88*101 89*11 90*5 91*1 92*2 94*130
37,1,55*1 73*3 74*4 75*2 76*1 77*19 78*1 79*29 80*23 81*5 82*9 83*12 84*4 85*1 86*23 87*16 88*101 89*13 90*2 91*5 92*2 94*137
38,1,61*1 77*10 78*7 79*28 80*23 81*2 82*6 83*10 84*4 85*6 86*23 87*25 88*102 89*8 90*1 91*11 92*6 94*140
39,1,65*1 77*4 78*5 79*25 80*17 81*3 82*5 83*7 84*4 85*5 86*20 87*24 88*110 89*11 90*3 91*14 92*12 94*143
40,1,69*1 79*21 80*17 81*2 82*5 84*5 86*24 87*15 88*114 89*16 90*7 91*16 92*19 94*151
41,1,79*7 80*16 81*2 82*3 83*4 86*24 87*11 88*114 89*19 90*9 91*20 92*17 94*167
42,1,80*6 82*3 83*1 85*2 86*19 87*6 88*125 89*21 90*14 91*20 92*20 93*2 94*174
43,1,86*5 87*6 88*119 89*25 90*19 91*31 92*24 93*2 94*182 95*1
44,1,88*107 89*11 90*24 91*29 92*38 93*10 94*181 95*14
45,1,88*81 89*8 90*28 91*30 92*41 93*11 94*177 95*39
46,1,88*62 89*1 90*31 91*20 92*49 93*9 94*178 95*65
47,1,88*46 89*1 90*26 91*16 92*51 93*8 94*179 95*91
48,1,88*26 89*3 90*11 91*15 92*58 93*9 94*178 95*118
49,1,88*4 90*6 91*6 92*65 93*18 94*178 95*142
50,1,92*55 93*19 94*170 95*176
