generation,continent,pool
11,1,-29460*1 -29280*1 -29272*1 -29220*1 -29212*1 -29164*1 -29088*1 -29072*1 -29056*1 -28980*1 -28968*1 -28880*1 -28800*1 -28772*1 -28712*1 -28648*1 -28604*1 -28512*2 -28504*1 -28460*1 -28436*2 -28392*1 -28384*1 -28148*2 -28060*1 -28036*1 -27964*1 -27904*1 -27872*1 -27868*1 -27748*1 -27724*1 -27664*1 -27568*1 -27380*1 -27328*1 -27256*1 -27248*3 -27192*1 -27180*1 -27168*1 -27136*1 -27112*1 -26868*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26544*1 -26528*1 -26512*1 -26436*1 -26408*1 -26384*1 -26236*1 -26060*1 -25868*1 -25408*3 -25108*1 7172*1
12,1,-29280*1 -29272*1 -29164*1 -29148*1 -29088*1 -29072*1 -29056*1 -28980*1 -28968*1 -28880*1 -28800*1 -28772*1 -28712*1 -28648*1 -28604*1 -28512*2 -28480*1 -28460*1 -28436*1 -28412*1 -28192*1 -28148*2 -27964*1 -27932*1 -27904*2 -27872*1 -27824*1 -27812*1 -27780*1 -27748*1 -27724*1 -27712*1 -27664*1 -27568*1 -27380*1 -27328*1 -27256*1 -27248*3 -27192*1 -27168*1 -27136*1 -26868*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26544*1 -26528*1 -26516*1 -26512*1 -26436*1 -26416*1 -26408*1 -26236*2 -26060*1 -25408*2 -25328*1 -25108*2 7172*1
13,1,-29280*1 -29148*1 -29092*1 -29088*1 -29056*1 -28980*1 -28880*1 -28800*1 -28772*1 -28712*1 -28704*1 -28648*1 -28512*2 -28480*1 -28460*1 -28436*1 -28328*1 -28240*1 -28192*2 -28148*2 -27960*1 -27932*1 -27872*1 -27824*1 -27812*1 -27780*1 -27748*1 -27724*1 -27712*1 -27692*1 -27568*1 -27536*1 -27380*1 -27328*1 -27248*2 -27192*1 -27156*1 -27136*1 -27128*1 -27092*1 -26964*1 -26860*1 -26848*1 -26840*1 -26736*1 -26660*1 -26612*1 -26580*1 -26544*1 -26528*1 -26516*1 -26512*1 -26436*1 -26416*1 -26236*2 -26060*1 -25668*1 -25408*2 -25328*1 -25108*2 7172*1
14,1,-29280*1 -29148*1 -29088*1 -28980*1 -28972*1 -28800*1 -28772*1 -28712*1 -28704*1 -28648*1 -28512*1 -28460*1 -28436*2 -28392*1 -28240*1 -28192*2 -28148*1 -28116*1 -27960*1 -27956*1 -27932*1 -27900*1 -27872*1 -27848*1 -27824*1 -27812*1 -27780*1 -27748*1 -27724*1 -27712*1 -27692*1 -27568*1 -27536*1 -27380*1 -27328*1 -27248*1 -27156*1 -27128*1 -27092*1 -26964*1 -26860*1 -26848*2 -26840*1 -26748*1 -26736*1 -26612*1 -26580*1 -26572*1 -26528*1 -26516*1 -26512*1 -26436*1 -26416*1 -26236*1 -26068*1 -26060*1 -25880*1 -25852*1 -25668*1 -25408*2 -25328*1 -25108*2 7172*1
15,1,-29236*1 -28972*1 -28880*1 -28804*1 -28772*1 -28760*1 -28712*1 -28704*1 -28672*1 -28648*1 -28512*1 -28436*2 -28392*1 -28280*1 -28240*1 -28192*2 -28148*1 -28116*1 -27960*1 -27956*1 -27932*1 -27900*1 -27872*1 -27824*1 -27812*1 -27780*2 -27748*1 -27724*1 -27712*1 -27692*1 -27568*1 -27536*1 -27328*1 -27248*1 -27156*1 -27128*1 -26860*1 -26848*2 -26840*1 -26748*1 -26736*1 -26720*1 -26704*1 -26580*1 -26572*1 -26568*1 -26528*1 -26516*1 -26512*1 -26436*1 -26236*1 -26068*1 -25936*1 -25880*1 -25844*1 -25668*1 -25660*1 -25584*1 -25408*2 -25328*1 -25108*2 7172*1
16,1,-29236*1 -28832*1 -28804*2 -28760*1 -28704*1 -28672*1 -28648*1 -28512*1 -28504*1 -28436*2 -28192*1 -28176*1 -28148*1 -28128*1 -28116*1 -28048*1 -27956*1 -27932*1 -27900*1 -27872*1 -27860*1 -27824*1 -27812*1 -27788*1 -27780*2 -27748*1 -27724*1 -27712*1 -27692*1 -27568*1 -27540*1 -27536*1 -27328*1 -27156*1 -27128*1 -27000*1 -26848*2 -26840*1 -26736*1 -26720*1 -26704*1 -26616*1 -26580*1 -26572*1 -26568*1 -26528*1 -26516*1 -26512*1 -26436*1 -26380*1 -26236*1 -26068*1 -25936*1 -25880*1 -25668*1 -25660*1 -25584*1 -25448*1 -25408*2 -25108*2 -24624*1 7172*1
17,1,-28948*1 -28832*1 -28704*1 -28648*1 -28564*1 -28512*1 -28504*1 -28436*2 -28180*1 -28176*1 -28148*1 -28128*1 -28116*1 -28068*1 -28024*1 -28004*1 -27968*1 -27956*1 -27932*1 -27900*1 -27872*1 -27824*1 -27812*1 -27788*1 -27780*1 -27748*1 -27724*1 -27712*1 -27692*1 -27352*1 -27348*1 -27328*1 -27272*1 -27244*1 -27156*1 -27128*1 -27000*1 -26992*1 -26848*2 -26840*1 -26736*1 -26720*1 -26704*1 -26616*1 -26580*1 -26572*1 -26568*1 -26528*1 -26512*1 -26436*1 -26432*1 -26236*1 -26068*1 -25936*1 -25724*1 -25704*1 -25660*1 -25584*1 -25448*1 -25408*2 -25204*1 -25108*2 -24596*1 7172*1
18,1,-28948*1 -28832*1 -28704*1 -28648*1 -28564*1 -28512*1 -28504*1 -28436*2 -28180*1 -28176*1 -28148*1 -28128*1 -28116*1 -28024*1 -28012*1 -27968*1 -27956*1 -27932*1 -27872*1 -27812*1 -27768*1 -27748*2 -27724*1 -27712*1 -27692*1 -27680*1 -27360*1 -27348*1 -27328*1 -27272*1 -27244*1 -27156*1 -27128*1 -27000*1 -26848*2 -26840*1 -26792*1 -26736*1 -26720*1 -26704*2 -26616*1 -26580*1 -26568*1 -26528*1 -26512*1 -26432*1 -26348*1 -26180*1 -26020*1 -25936*1 -25924*1 -25804*1 -25724*1 -25700*1 -25660*1 -25584*1 -25448*1 -25408*2 -25204*1 -25108*1 -23952*1 -23856*1 7172*1
19,1,-28832*1 -28648*1 -28564*1 -28512*1 -28504*1 -28488*1 -28436*2 -28320*1 -28180*1 -28176*1 -28148*1 -28128*1 -28116*1 -28024*1 -27992*1 -27968*1 -27956*1 -27932*1 -27872*1 -27812*1 -27768*1 -27748*2 -27724*1 -27712*1 -27692*1 -27680*1 -27360*1 -27348*1 -27328*1 -27272*1 -27148*1 -27128*1 -27108*1 -27000*1 -26848*2 -26840*1 -26792*1 -26736*1 -26720*1 -26704*2 -26616*1 -26580*1 -26568*1 -26528*1 -26512*1 -26432*1 -26348*1 -26180*1 -25908*1 -25856*1 -25804*1 -25724*1 -25584*1 -25424*1 -25408*1 -25248*1 -25108*1 -25080*1 -24824*1 -24728*1 -24716*1 -23952*1 -23748*1 7172*1
20,1,-28832*1 -28648*1 -28564*1 -28512*1 -28504*1 -28488*1 -28436*2 -28320*1 -28024*1 -27992*1 -27968*1 -27956*1 -27932*1 -27872*1 -27812*1 -27772*1 -27768*1 -27748*1 -27724*1 -27712*2 -27692*1 -27680*1 -27616*1 -27568*1 -27412*1 -27360*1 -27348*1 -27328*1 -27272*1 -27148*1 -27128*1 -27000*1 -26940*1 -26848*2 -26840*1 -26720*1 -26704*1 -26616*1 -26580*1 -26568*1 -26512*1 -26504*1 -26432*1 -26396*1 -26348*1 -26180*1 -26056*1 -25924*1 -25908*1 -25856*1 -25804*1 -25752*1 -25724*1 -25424*1 -25408*1 -25248*1 -25108*1 -25080*1 -25056*1 -24824*1 -24716*1 -24484*1 -23952*1 -23748*1 7172*1
