generation,continent,pool
31,1,-28936*1 -28060*1 -27956*1 -27764*1 -27712*2 -27692*1 -27616*1 -27548*1 -27508*1 -27360*1 -27300*1 -27192*1 -27168*1 -27112*1 -27040*1 -27008*1 -26992*1 -26984*1 -26980*1 -26880*1 -26848*2 -26728*1 -26604*1 -26580*2 -26552*1 -26484*1 -26480*1 -26404*1 -26372*1 -26140*1 -26096*1 -26036*1 -25972*1 -25924*1 -25804*1 -25792*1 -25760*1 -25700*1 -25632*1 -25604*1 -25536*1 -25472*1 -25440*1 -25436*1 -25312*1 -25204*1 -25136*1 -25084*1 -25056*2 -24824*1 -24740*1 -24692*1 -24536*2 -24516*1 -24360*1 -23924*1 -23848*1 -23772*1 -23748*4 -22152*1 7172*1
32,1,-28152*1 -28060*1 -27956*1 -27712*2 -27616*1 -27548*1 -27360*1 -27248*1 -27192*2 -27168*1 -27112*1 -27040*1 -27028*1 -27008*1 -26992*1 -26984*1 -26980*1 -26880*1 -26848*2 -26728*1 -26604*1 -26580*1 -26560*1 -26484*1 -26480*1 -26372*1 -26176*1 -26140*1 -26096*1 -26036*1 -25972*1 -25924*1 -25836*1 -25816*1 -25804*1 -25792*1 -25700*1 -25604*1 -25560*1 -25536*1 -25472*1 -25440*1 -25436*1 -25312*1 -25136*1 -25084*1 -25056*2 -25036*1 -24904*1 -24740*1 -24692*1 -24536*2 -24516*1 -24360*1 -24216*1 -23924*1 -23784*1 -23772*1 -23748*4 -22152*1 7172*1
33,1,-28060*1 -27956*1 -27772*1 -27712*2 -27616*1 -27548*1 -27360*1 -27248*1 -27192*2 -27168*1 -27040*1 -27028*1 -27008*1 -26992*1 -26984*1 -26948*1 -26940*1 -26880*1 -26848*2 -26728*1 -26604*1 -26560*1 -26480*1 -26372*1 -26140*1 -26096*1 -26036*1 -25980*1 -25972*1 -25960*1 -25924*1 -25836*1 -25816*1 -25804*1 -25792*1 -25700*1 -25604*1 -25560*1 -25536*1 -25472*1 -25440*1 -25428*1 -25312*1 -25136*1 -25084*1 -25056*2 -25036*1 -24904*1 -24692*1 -24360*1 -24216*2 -24168*2 -23836*1 -23816*1 -23784*1 -23772*1 -23748*4 -23680*1 -22152*1 7172*1
34,1,-28060*1 -27956*1 -27772*1 -27712*1 -27616*1 -27548*1 -27448*1 -27360*1 -27248*1 -27192*2 -27040*1 -27028*1 -26992*2 -26984*1 -26948*1 -26940*1 -26880*1 -26848*1 -26728*1 -26704*1 -26604*1 -26560*1 -26372*1 -26240*1 -26140*1 -25980*1 -25972*1 -25960*1 -25924*2 -25836*1 -25804*1 -25792*1 -25724*1 -25700*1 -25604*1 -25572*1 -25560*1 -25536*1 -25472*1 -25440*1 -25428*1 -25316*1 -25312*1 -25056*1 -25036*1 -24904*1 -24692*1 -24360*1 -24280*1 -24184*1 -24168*1 -24136*1 -24068*1 -23892*1 -23836*1 -23784*1 -23748*4 -23704*1 -23680*1 -23604*1 -23372*1 -22152*1 7172*1
35,1,-28060*1 -27876*1 -27616*2 -27548*1 -27368*1 -27360*1 -27316*1 -27248*1 -27192*1 -27028*1 -26992*2 -26984*1 -26948*1 -26940*1 -26880*1 -26848*1 -26748*1 -26728*1 -26704*1 -26504*1 -26240*1 -26140*1 -26028*1 -25996*1 -25980*1 -25960*1 -25924*2 -25836*1 -25804*1 -25792*1 -25724*1 -25700*1 -25604*2 -25572*1 -25560*1 -25536*1 -25472*1 -25440*1 -25428*1 -25312*1 -25092*1 -25056*1 -25036*1 -24832*1 -24828*1 -24280*1 -24192*1 -24184*1 -24168*1 -24136*1 -24024*1 -23948*1 -23892*1 -23784*1 -23748*4 -23704*1 -23680*1 -23372*3 -22152*1 7172*1
36,1,-28060*1 -27792*1 -27616*2 -27484*1 -27368*1 -27360*1 -27316*1 -27248*1 -27192*1 -27028*1 -26992*2 -26984*1 -26948*1 -26880*1 -26848*1 -26748*1 -26728*1 -26704*1 -26504*1 -26240*1 -26168*1 -26140*1 -25996*1 -25960*1 -25924*1 -25836*1 -25792*1 -25700*1 -25624*1 -25604*1 -25572*1 -25536*1 -25480*1 -25472*1 -25440*1 -25436*1 -25428*1 -25412*1 -25312*1 -25304*1 -25296*1 -25092*1 -25056*1 -24832*1 -24828*1 -24472*1 -24280*2 -24192*1 -24184*1 -24136*1 -24024*1 -23948*1 -23848*1 -23748*4 -23704*1 -23668*1 -23372*4 -23324*1 -22152*1 7172*1
37,1,-28060*1 -27792*1 -27616*2 -27484*1 -27368*1 -27316*1 -27304*1 -27248*1 -27192*1 -27028*1 -26992*2 -26984*1 -26948*1 -26880*1 -26848*1 -26748*1 -26728*1 -26704*1 -26504*1 -26240*1 -25996*1 -25960*1 -25924*1 -25816*1 -25792*1 -25744*1 -25700*1 -25624*1 -25572*1 -25516*1 -25480*1 -25440*1 -25436*1 -25428*1 -25416*1 -25412*1 -25364*1 -25312*1 -25304*1 -25296*1 -25092*1 -25056*1 -24828*1 -24760*1 -24280*2 -24268*1 -24192*1 -24184*1 -24136*1 -24024*1 -23748*4 -23736*1 -23704*1 -23680*1 -23372*3 -23324*3 -22736*1 -22152*1 7172*2
38,1,-28060*1 -27792*1 -27616*1 -27520*1 -27484*1 -27192*1 -27028*1 -26992*2 -26984*1 -26952*1 -26948*1 -26940*1 -26936*1 -26848*1 -26804*1 -26748*1 -26704*1 -26528*1 -26504*1 -26368*1 -26240*1 -25996*1 -25960*1 -25792*1 -25744*1 -25700*1 -25596*1 -25572*1 -25516*1 -25480*1 -25440*1 -25428*1 -25416*1 -25412*1 -25396*1 -25384*1 -25364*1 -25312*1 -25304*1 -25296*1 -25092*1 -24792*1 -24760*1 -24724*1 -24280*2 -24268*1 -24192*1 -24184*1 -24136*1 -24024*1 -23972*1 -23748*4 -23736*1 -23372*3 -23324*3 -23224*1 -23080*1 -22736*1 -22152*1 7172*2
39,1,-27972*1 -27616*1 -27384*1 -27068*1 -27028*1 -26992*1 -26952*1 -26948*1 -26936*1 -26904*1 -26900*1 -26804*1 -26748*1 -26704*1 -26696*1 -26692*1 -26660*1 -26528*1 -26360*1 -26240*1 -26096*1 -26048*1 -25996*1 -25960*1 -25792*1 -25744*1 -25700*1 -25572*1 -25516*1 -25480*1 -25440*1 -25428*1 -25416*1 -25412*1 -25396*1 -25384*1 -25312*1 -25304*1 -25296*1 -25148*1 -25092*1 -24760*1 -24740*1 -24724*1 -24316*1 -24280*2 -24192*1 -24184*1 -24024*1 -23972*1 -23904*1 -23784*1 -23748*4 -23372*3 -23324*3 -23224*1 -23080*1 -22960*1 -22736*1 -22152*1 7172*2
40,1,-27504*1 -27288*1 -27140*1 -27068*1 -27028*1 -26948*1 -26900*1 -26804*1 -26760*1 -26748*1 -26704*1 -26696*1 -26692*1 -26660*1 -26648*1 -26528*1 -26492*1 -26472*1 -26360*1 -26096*1 -26048*1 -25996*1 -25960*1 -25792*1 -25700*1 -25560*1 -25516*1 -25472*1 -25440*1 -25416*1 -25412*1 -25396*1 -25384*1 -25312*1 -25304*1 -25296*1 -25264*1 -25228*1 -25148*1 -25092*1 -24812*1 -24760*1 -24740*1 -24724*1 -24280*2 -24192*1 -24184*1 -24180*1 -24024*1 -23904*2 -23784*1 -23748*4 -23372*2 -23352*1 -23324*3 -23224*1 -23080*1 -22960*1 -22736*1 -22152*1 7172*2
41,1,-27380*1 -27288*1 -27140*1 -27068*1 -27028*1 -26948*1 -26804*1 -26760*1 -26748*1 -26704*1 -26528*1 -26492*1 -26448*1 -26192*1 -26096*1 -26072*1 -26048*1 -25996*1 -25916*1 -25868*1 -25704*1 -25700*1 -25592*1 -25584*1 -25580*1 -25560*1 -25516*1 -25472*1 -25440*1 -25416*1 -25412*1 -25396*1 -25384*1 -25304*1 -25296*1 -25264*1 -25228*1 -25148*1 -25092*1 -24924*1 -24812*1 -24740*1 -24724*1 -24200*1 -24192*1 -24184*1 -24180*1 -24024*1 -23924*1 -23904*3 -23784*1 -23748*4 -23372*2 -23352*1 -23324*3 -23224*1 -23080*1 -22736*1 -22472*1 -22152*1 7172*2
42,1,-27288*1 -27140*1 -27068*1 -27028*1 -26948*1 -26804*1 -26788*1 -26760*1 -26748*1 -26704*1 -26528*1 -26492*1 -26096*1 -26072*1 -26048*1 -25996*1 -25916*1 -25884*1 -25868*1 -25704*1 -25700*1 -25592*1 -25584*1 -25560*1 -25472*1 -25448*1 -25440*1 -25416*1 -25396*1 -25384*1 -25304*1 -25264*1 -25260*1 -25228*1 -25160*1 -25148*1 -24812*1 -24768*1 -24724*1 -24460*1 -24360*1 -24328*1 -24204*1 -24200*1 -24192*1 -24184*1 -24180*1 -24024*1 -23924*1 -23904*2 -23784*1 -23748*4 -23372*2 -23352*1 -23328*1 -23324*3 -23224*1 -23080*1 -22284*1 -22152*1 -21036*1 7172*2
43,1,-27288*1 -27068*1 -27028*1 -26916*1 -26804*1 -26788*1 -26616*1 -26528*1 -26492*1 -26472*1 -26148*1 -26096*1 -25984*1 -25980*1 -25884*1 -25868*1 -25704*1 -25700*1 -25648*1 -25584*1 -25560*1 -25472*1 -25448*1 -25440*1 -25416*1 -25396*1 -25384*1 -25316*1 -25304*2 -25264*1 -25260*1 -25160*1 -25148*2 -24860*1 -24812*1 -24768*1 -24724*1 -24460*1 -24360*1 -24204*1 -24192*1 -24168*1 -24140*1 -24024*1 -23924*1 -23904*2 -23784*1 -23748*3 -23492*1 -23404*1 -23372*2 -23352*1 -23328*1 -23324*3 -23224*1 -23128*1 -22328*1 -22284*1 -22152*1 -21036*1 7172*2
44,1,-27148*1 -27068*1 -27028*1 -26916*1 -26636*1 -26616*1 -26528*1 -26492*1 -26472*2 -26148*1 -26096*1 -25984*1 -25980*1 -25884*1 -25868*1 -25704*1 -25700*1 -25648*1 -25584*1 -25560*1 -25440*1 -25396*1 -25384*1 -25316*1 -25304*1 -25260*1 -25148*2 -25088*1 -25004*1 -24812*1 -24768*1 -24744*1 -24724*1 -24672*1 -24548*1 -24540*1 -24528*1 -24460*1 -24360*1 -24192*1 -24168*1 -24024*1 -23924*1 -23904*2 -23892*1 -23784*1 -23748*2 -23636*1 -23492*1 -23404*1 -23372*2 -23324*3 -23224*1 -23128*1 -23072*1 -22716*1 -22548*1 -22328*1 -22284*1 -22152*1 -21036*1 7172*2
45,1,-27004*1 -26916*1 -26636*2 -26616*1 -26528*1 -26492*1 -26472*1 -26436*1 -25984*1 -25980*1 -25928*1 -25868*1 -25704*1 -25700*1 -25680*1 -25648*1 -25584*1 -25560*1 -25440*1 -25396*1 -25384*1 -25380*1 -25304*1 -25260*1 -25204*1 -25148*2 -25088*1 -25004*1 -24864*1 -24812*1 -24768*1 -24744*1 -24724*1 -24672*1 -24548*1 -24528*1 -24380*1 -24192*1 -24168*1 -24036*1 -23924*1 -23904*2 -23892*1 -23760*1 -23756*1 -23748*2 -23636*1 -23492*1 -23372*2 -23324*3 -23280*1 -23224*1 -23072*1 -22716*1 -22636*1 -22628*1 -22548*1 -22328*1 -22284*1 -21832*1 -21036*1 7172*2
46,1,-26672*1 -26648*1 -26636*1 -26616*1 -26604*1 -26492*1 -26436*1 -26316*1 -26048*1 -25984*1 -25980*1 -25704*1 -25700*1 -25680*1 -25648*1 -25584*1 -25560*1 -25440*1 -25396*1 -25384*1 -25380*1 -25304*1 -25260*1 -25248*1 -25204*1 -25152*1 -25148*1 -25088*1 -25004*1 -24864*1 -24812*1 -24744*1 -24724*2 -24672*1 -24528*1 -24380*1 -24316*1 -24192*1 -24168*1 -24036*1 -23924*1 -23904*1 -23892*1 -23836*2 -23760*1 -23756*1 -23748*2 -23636*1 -23492*1 -23372*1 -23328*1 -23324*3 -23280*1 -22812*1 -22716*1 -22636*1 -22628*1 -22548*1 -22336*1 -22328*1 -22284*1 -21832*1 -21036*1 7172*2
47,1,-26672*1 -26648*1 -26492*1 -26436*1 -26336*1 -26316*1 -26116*1 -26048*1 -25984*1 -25980*1 -25704*1 -25680*1 -25648*1 -25612*1 -25500*1 -25468*1 -25440*1 -25396*1 -25384*1 -25324*1 -25304*2 -25260*1 -25248*1 -25152*1 -25148*1 -25088*1 -25004*1 -24864*1 -24812*1 -24744*1 -24724*1 -24672*1 -24528*1 -24504*1 -24380*1 -24316*1 -24304*1 -24192*1 -24036*1 -23924*1 -23904*1 -23836*2 -23760*1 -23748*2 -23636*1 -23516*1 -23492*2 -23372*1 -23324*3 -23280*1 -23136*1 -22812*1 -22716*1 -22636*1 -22628*1 -22548*2 -22336*1 -22284*1 -21832*1 -21744*1 -20484*1 7172*2
48,1,-26672*1 -26648*1 -26436*1 -26316*1 -26116*1 -26048*1 -25872*1 -25804*1 -25704*1 -25696*1 -25692*1 -25680*1 -25612*1 -25500*1 -25492*1 -25468*1 -25396*1 -25384*1 -25324*1 -25304*2 -25260*1 -25248*1 -25148*1 -25104*1 -25088*1 -25004*1 -24916*1 -24864*1 -24812*1 -24744*1 -24724*1 -24672*1 -24528*1 -24380*1 -24316*1 -24304*1 -24192*1 -24092*1 -24036*1 -23924*1 -23904*1 -23836*2 -23760*1 -23748*2 -23636*1 -23492*2 -23372*1 -23324*2 -23280*1 -22904*1 -22716*1 -22636*2 -22548*2 -22468*1 -22336*1 -22284*1 -22140*1 -21744*2 -20752*1 -20484*1 7172*2
49,1,-26316*1 -26116*1 -26048*1 -25992*1 -25872*1 -25868*1 -25824*1 -25804*1 -25696*1 -25692*1 -25680*1 -25612*1 -25500*1 -25492*1 -25468*1 -25396*1 -25384*1 -25324*1 -25304*2 -25248*1 -25228*1 -25148*1 -25104*1 -25088*1 -25008*1 -24916*1 -24812*1 -24744*1 -24724*1 -24672*1 -24528*1 -24304*1 -24268*1 -24224*1 -24092*1 -24036*1 -23924*1 -23904*1 -23836*2 -23784*1 -23760*1 -23748*1 -23656*1 -23636*1 -23600*1 -23492*2 -23472*1 -23372*1 -23324*2 -23280*1 -22904*1 -22716*1 -22636*2 -22548*1 -22468*1 -22336*1 -22284*1 -22172*1 -22140*1 -21744*2 -20752*1 -20484*1 7172*2
50,1,-26316*1 -26116*1 -26048*1 -25992*1 -25872*1 -25868*1 -25824*1 -25696*1 -25692*1 -25652*1 -25612*1 -25492*1 -25396*1 -25384*1 -25324*1 -25304*1 -25248*1 -25228*1 -25224*1 -25148*1 -25104*1 -25088*1 -25008*1 -24924*1 -24916*1 -24824*1 -24744*1 -24724*1 -24636*1 -24528*1 -24268*1 -24128*1 -24092*1 -24036*1 -24024*1 -23964*1 -23924*1 -23904*1 -23836*2 -23760*1 -23748*1 -23740*1 -23656*1 -23636*1 -23600*1 -23492*2 -23476*1 -23372*1 -23324*2 -23280*1 -22972*1 -22904*1 -22716*1 -22636*2 -22468*1 -22336*1 -22172*1 -22140*1 -21744*3 -20484*3 7172*2
51,1,-26116*1 -26048*1 -26008*1 -25992*1 -25872*1 -25868*1 -25824*1 -25696*1 -25692*1 -25652*1 -25444*1 -25396*2 -25384*1 -25324*1 -25304*1 -25228*1 -25224*1 -25148*1 -25088*1 -25008*1 -24924*1 -24916*1 -24824*1 -24724*1 -24648*1 -24636*1 -24528*1 -24316*1 -24268*1 -24188*1 -24092*1 -24036*1 -23924*2 -23904*1 -23836*2 -23760*1 -23748*1 -23740*1 -23724*1 -23656*1 -23636*1 -23492*2 -23476*1 -23372*1 -23324*2 -23280*1 -23248*1 -22972*1 -22904*1 -22736*1 -22716*1 -22636*1 -22336*1 -22140*1 -22128*1 -21744*4 -21616*1 -20484*3 7172*2
52,1,-26116*1 -26008*1 -25948*1 -25872*1 -25824*1 -25696*1 -25692*1 -25652*1 -25444*1 -25396*1 -25384*1 -25324*1 -25236*1 -25224*2 -25160*1 -25008*1 -24924*1 -24912*1 -24908*1 -24868*1 -24824*1 -24772*1 -24724*1 -24648*2 -24636*1 -24528*1 -24316*1 -24268*1 -24188*1 -24092*1 -24036*1 -23924*2 -23904*1 -23836*1 -23760*1 -23748*1 -23740*1 -23724*1 -23656*1 -23636*1 -23492*2 -23460*1 -23372*1 -23324*2 -23280*1 -23248*1 -22972*2 -22716*1 -22636*1 -22612*1 -22128*1 -22104*1 -21744*3 -21740*1 -21704*1 -21616*2 -20484*3 7172*2
53,1,-25880*1 -25872*1 -25848*1 -25824*1 -25696*1 -25692*1 -25652*1 -25592*1 -25444*1 -25396*1 -25384*1 -25324*1 -25236*1 -25224*2 -25160*1 -25008*1 -24924*1 -24912*1 -24868*1 -24824*1 -24724*1 -24648*2 -24528*1 -24516*1 -24272*1 -24268*1 -24188*1 -24128*1 -24092*1 -24036*1 -23924*1 -23880*1 -23836*1 -23760*1 -23748*1 -23656*1 -23580*1 -23536*1 -23492*2 -23384*1 -23372*1 -23324*2 -23280*1 -23272*1 -23248*1 -23192*1 -22972*2 -22916*1 -22636*1 -22612*1 -22416*1 -22128*1 -22104*1 -21744*3 -21740*1 -21616*2 -20992*1 -20484*2 -19808*1 7172*2
54,1,-25848*1 -25692*1 -25648*1 -25616*1 -25588*1 -25512*1 -25444*1 -25396*1 -25384*1 -25280*1 -25236*1 -25224*2 -25160*1 -25008*1 -24924*1 -24912*1 -24868*1 -24828*1 -24724*1 -24648*2 -24548*1 -24528*1 -24356*1 -24268*1 -24188*1 -24128*1 -24116*1 -24092*1 -24036*1 -23924*1 -23880*1 -23836*1 -23764*1 -23760*1 -23748*1 -23656*1 -23536*1 -23492*2 -23384*1 -23372*1 -23324*2 -23272*1 -23192*2 -23168*1 -22980*1 -22972*2 -22916*1 -22636*1 -22612*1 -22324*1 -22128*1 -22104*1 -21744*3 -21616*2 -21396*1 -20992*1 -20352*1 -19808*2 7172*2
55,1,-25848*1 -25692*1 -25648*1 -25512*1 -25444*1 -25396*1 -25384*2 -25280*1 -25236*1 -25224*2 -25160*1 -25124*1 -25008*1 -24912*1 -24868*1 -24724*1 -24648*2 -24548*1 -24528*1 -24412*1 -24356*1 -24192*1 -24188*1 -24128*1 -24116*1 -24092*1 -23924*1 -23860*1 -23836*1 -23780*1 -23764*1 -23760*1 -23656*1 -23628*1 -23548*1 -23536*1 -23492*2 -23384*1 -23372*1 -23324*2 -23272*1 -23192*1 -23092*1 -22972*2 -22820*1 -22436*1 -22424*1 -22360*1 -22324*1 -22128*1 -22104*1 -21744*3 -21616*2 -21604*1 -21396*1 -20992*1 -20352*1 -19808*1 -19504*1 7172*2
56,1,-25848*1 -25692*1 -25648*1 -25512*1 -25424*1 -25396*1 -25384*1 -25280*1 -25236*1 -25224*1 -25124*1 -24912*1 -24868*1 -24724*1 -24700*1 -24696*1 -24648*2 -24616*1 -24548*1 -24528*1 -24412*1 -24356*1 -24128*1 -24116*1 -24092*1 -23924*1 -23856*1 -23764*1 -23760*2 -23736*1 -23656*1 -23628*1 -23548*1 -23536*1 -23492*2 -23472*1 -23412*1 -23384*1 -23372*1 -23324*2 -23216*1 -23192*1 -23092*1 -22972*2 -22924*1 -22820*1 -22424*1 -22416*1 -22360*1 -22324*1 -22104*1 -21744*3 -21616*2 -21604*1 -21596*1 -20840*1 -20780*1 -20004*1 -19684*1 -19504*1 7172*2
57,1,-25648*1 -25568*1 -25512*1 -25396*1 -25384*1 -25360*1 -25280*1 -25236*1 -25224*1 -25124*1 -24912*1 -24868*1 -24696*1 -24680*1 -24648*2 -24548*1 -24528*1 -24472*1 -24336*1 -24240*1 -24128*2 -24092*1 -24060*1 -23924*2 -23856*1 -23764*1 -23760*1 -23736*1 -23656*1 -23628*1 -23548*1 -23536*1 -23492*2 -23384*1 -23336*1 -23324*2 -23216*1 -23196*1 -23192*1 -23124*1 -23092*1 -22972*1 -22924*1 -22820*1 -22752*1 -22424*1 -22416*1 -22360*1 -22260*1 -22104*1 -22096*1 -21744*3 -21616*1 -21604*1 -21596*1 -20916*1 -20840*1 -20780*1 -20004*1 -19684*1 -19504*1 7172*2
58,1,-25648*1 -25512*1 -25404*1 -25396*1 -25384*1 -25280*1 -25236*1 -25224*1 -24912*1 -24868*1 -24792*1 -24648*2 -24488*1 -24472*1 -24368*1 -24336*1 -24240*1 -24128*2 -24092*1 -24068*1 -23992*1 -23924*2 -23856*1 -23848*2 -23764*1 -23760*1 -23736*1 -23656*1 -23548*1 -23536*1 -23492*2 -23384*1 -23324*2 -23216*1 -23140*1 -23024*1 -22996*1 -22992*1 -22972*1 -22924*1 -22820*1 -22752*1 -22448*1 -22424*1 -22416*1 -22404*1 -22360*1 -22104*1 -22096*2 -21744*3 -21616*1 -21604*1 -21596*1 -20840*1 -20436*1 -20316*1 -19684*1 -19504*2 7172*2
59,1,-25648*1 -25512*1 -25404*1 -25396*1 -25384*1 -25280*1 -25236*1 -25224*1 -24912*1 -24792*1 -24648*1 -24580*1 -24488*1 -24472*1 -24240*1 -24128*2 -24124*1 -24068*1 -23992*1 -23928*1 -23924*2 -23884*1 -23856*1 -23848*2 -23736*1 -23724*1 -23624*1 -23592*1 -23536*1 -23492*1 -23440*1 -23324*2 -23216*1 -23140*1 -23048*1 -23024*1 -22996*1 -22992*1 -22972*1 -22924*1 -22868*1 -22820*1 -22752*1 -22640*1 -22448*1 -22416*1 -22404*1 -22360*1 -22104*1 -22096*2 -21872*1 -21744*3 -21616*1 -21572*1 -20840*1 -20592*1 -20436*1 -19940*1 -19684*1 -19504*1 -19316*1 7172*2
60,1,-25648*1 -25404*1 -25396*1 -25280*1 -25224*1 -24792*1 -24756*1 -24748*2 -24648*1 -24580*2 -24488*1 -24308*1 -24240*1 -24128*2 -24124*1 -24068*1 -23944*1 -23924*2 -23856*1 -23852*1 -23848*2 -23736*1 -23624*1 -23592*1 -23536*1 -23492*1 -23440*1 -23404*1 -23324*2 -23232*1 -23216*1 -23028*1 -23024*1 -22996*1 -22992*1 -22924*1 -22820*1 -22800*1 -22640*1 -22484*1 -22480*1 -22448*1 -22416*1 -22404*1 -22136*1 -22096*2 -21960*1 -21872*1 -21816*1 -21744*3 -21616*1 -21572*1 -20840*1 -20592*1 -20436*1 -19940*1 -19684*1 -19504*1 -19316*1 7172*2
61,1,-25648*1 -25396*1 -25280*1 -25224*1 -24848*1 -24756*1 -24748*2 -24648*1 -24580*2 -24484*1 -24308*1 -24256*1 -24240*1 -24128*2 -24124*1 -23960*1 -23944*1 -23924*2 -23856*1 -23848*1 -23736*1 -23624*1 -23592*1 -23536*1 -23504*1 -23492*1 -23440*1 -23404*1 -23292*1 -23232*1 -23216*1 -23036*1 -23028*1 -23000*1 -22996*1 -22992*1 -22924*1 -22800*1 -22648*1 -22484*1 -22480*1 -22448*1 -22416*1 -22404*1 -22136*1 -22096*2 -22028*1 -21960*1 -21936*1 -21872*1 -21816*1 -21744*3 -21572*1 -21028*1 -20792*1 -20436*1 -20148*1 -19940*1 -19684*1 -19504*1 -19316*1 7172*2
62,1,-25536*1 -25224*1 -25032*1 -24896*1 -24848*1 -24748*2 -24648*1 -24580*2 -24484*1 -24308*1 -24240*1 -24128*2 -24060*1 -23992*1 -23968*1 -23960*1 -23944*1 -23924*1 -23856*1 -23848*1 -23736*1 -23624*1 -23536*1 -23524*1 -23504*1 -23492*1 -23440*1 -23404*1 -23292*1 -23232*1 -23216*1 -23148*1 -23036*1 -22992*1 -22924*1 -22704*1 -22648*1 -22592*1 -22484*1 -22416*2 -22404*1 -22388*1 -22136*1 -22096*2 -22092*1 -22028*1 -21936*1 -21872*1 -21816*1 -21744*3 -21736*1 -21572*1 -21252*1 -21028*1 -20792*1 -20436*1 -20148*1 -19940*1 -19684*1 -19316*1 -18928*1 7172*2
63,1,-25172*1 -24892*1 -24748*2 -24728*1 -24648*1 -24524*1 -24484*1 -24448*1 -24308*1 -24204*1 -24128*2 -24072*1 -24060*1 -24040*1 -23992*1 -23968*1 -23960*1 -23944*1 -23856*1 -23848*1 -23736*1 -23624*1 -23536*1 -23524*1 -23492*1 -23428*1 -23404*1 -23292*1 -23232*1 -23216*1 -23148*1 -23036*1 -22992*1 -22848*1 -22772*1 -22704*1 -22672*1 -22648*1 -22584*1 -22484*1 -22416*2 -22096*2 -22092*1 -22028*1 -21936*1 -21872*1 -21816*1 -21760*1 -21748*1 -21744*3 -21736*1 -21592*1 -21572*1 -21252*1 -20792*1 -20436*1 -20280*1 -20148*1 -19940*1 -19684*1 -18928*1 -18892*1 7172*2
64,1,-25172*1 -24748*2 -24728*1 -24648*2 -24524*1 -24448*1 -24204*1 -24128*2 -24072*1 -24060*1 -24040*1 -23992*1 -23968*1 -23960*1 -23944*1 -23856*1 -23848*1 -23780*1 -23748*1 -23736*1 -23624*1 -23536*1 -23428*1 -23404*1 -23292*1 -23284*1 -23232*1 -23216*1 -23148*1 -23104*1 -22992*1 -22984*1 -22848*1 -22772*1 -22704*1 -22584*1 -22484*1 -22416*2 -22096*2 -22084*1 -22048*1 -22028*1 -21936*1 -21872*1 -21828*1 -21760*1 -21744*3 -21736*1 -21572*1 -21364*1 -21252*1 -21148*1 -20940*1 -20792*1 -20340*1 -20280*1 -20148*1 -19940*1 -19684*1 -18928*1 -18892*1 7172*2
65,1,-24848*1 -24748*2 -24728*1 -24648*2 -24524*1 -24448*1 -24128*1 -24072*1 -24060*1 -24040*1 -23992*1 -23968*1 -23960*1 -23872*1 -23856*1 -23848*1 -23780*1 -23748*1 -23736*1 -23668*1 -23624*1 -23536*1 -23428*1 -23368*1 -23292*1 -23284*1 -23280*1 -23216*1 -23148*1 -22992*1 -22984*1 -22848*1 -22784*1 -22772*1 -22748*1 -22704*1 -22584*1 -22484*1 -22416*2 -22096*1 -22084*1 -22048*1 -22028*1 -21936*1 -21828*1 -21760*1 -21744*2 -21736*1 -21572*1 -21484*1 -21480*1 -21364*1 -21072*1 -21048*1 -20880*1 -20792*1 -20640*1 -20340*1 -20280*1 -20148*1 -19684*1 -18928*1 -18892*2 7172*2
66,1,-24848*1 -24748*2 -24728*1 -24648*2 -24524*1 -24128*1 -24092*1 -24060*1 -24040*1 -23992*1 -23972*1 -23968*1 -23848*1 -23780*1 -23748*1 -23736*1 -23668*1 -23628*1 -23624*1 -23536*1 -23404*1 -23368*1 -23348*1 -23292*1 -23284*1 -23280*1 -23216*1 -23148*1 -22984*1 -22972*1 -22848*1 -22784*1 -22772*1 -22732*1 -22704*2 -22484*1 -22416*1 -22116*1 -22096*1 -22084*1 -22048*1 -21936*1 -21904*1 -21828*1 -21760*1 -21744*2 -21736*1 -21636*1 -21572*1 -21364*1 -21328*1 -21072*1 -20792*1 -20748*1 -20640*1 -20596*1 -20380*1 -20340*1 -20028*1 -19716*1 -19684*1 -18928*1 -18892*1 -18704*1 7172*2
67,1,-24848*1 -24748*2 -24648*1 -24248*1 -24128*2 -24104*1 -24092*1 -24060*1 -23992*1 -23848*1 -23816*1 -23784*1 -23780*1 -23748*1 -23716*1 -23668*1 -23628*1 -23624*1 -23600*1 -23536*1 -23404*1 -23368*1 -23348*1 -23280*1 -23216*1 -22984*1 -22972*1 -22848*1 -22784*1 -22772*2 -22764*1 -22732*1 -22704*2 -22552*1 -22484*1 -22416*1 -22116*1 -22096*1 -22084*1 -22048*1 -21936*1 -21904*1 -21828*1 -21760*1 -21744*2 -21736*1 -21636*1 -21364*1 -21328*1 -20792*2 -20640*1 -20584*1 -20452*1 -20380*1 -20340*1 -20172*1 -20028*1 -19716*1 -19684*1 -18892*1 -18772*1 -18704*1 7172*2
